Stock Name,NSE Symbol
Hester Biosciences Ltd,HESTERBIO
NACL Industries Limited,NACLIND
Sun Pharmaceutical Industries Ltd.,SUNPHARMA
Hikal Ltd.,HIKAL
Caplin Point Laboratories Ltd.,CAPLIPOINT
NGL Fine Chem Ltd.,NGLFINE
Aurobindo Pharma Ltd.,AUROPHARMA
Natco Pharma Ltd.,NATCOPHARM
Panama Petrochem Ltd.,PANAMAPET
Bal Pharma Ltd.,BALPHARMA
Cubex Tubings Ltd,CUBEXTUB
Hitech Corporation Limited,HITECHCORP
Filatex India Ltd.,FILATEX
Premier Explosives Ltd.,PREMEXPLN
Mold-Tek Technologies Ltd,MOLDTECH
Mphasis Limited,MPHASIS
Orient Press ltd.,ORIENTLTD
Ganesh Housing Corporation Ltd.,GANESHHOUC
NMDC Ltd,NMDC
Patel Integrated Logistics Ltd,PATINTLOG
Alphageo (India)Ltd.,ALPHAGEO
Kriti Industries (India) Ltd.,KRITI
Sanghi Industries Ltd.,SANGHIIND
Country Club Hospitality & Holidays Ltd,CCHHL
TPL Plastech Limited,TPLPLASTEH
Liberty Shoes Ltd.,LIBERTSHOE
Electrotherm (India) Ltd,ELECTHERM
Blue Dart Express Ltd.,BLUEDART
Mirza International  Limited,MIRZAINT
Tourism Finance Corpn. Of India Ltd,TFCILTD
Rajdarshan Industries Ltd.,ARENTERP
Bhartiya International Ltd.,BIL
Kamat Hotels (India) ltd.,KAMATHOTEL
DSJ KEEP LEARNING LIMITED,KEEPLEARN
Sandesh Ltd.,SANDESH
Goldiam International Ltd.,GOLDIAM
Greenply Industries Ltd,GREENPLY
Seamec Ltd,SEAMECLTD
Cheviot Co.Ltd.,CHEVIOT
Confidence Petroleum India Limited,CONFIPET
Banaras Beads Ltd.,BANARBEADS
63 Moons Technologies Limited,63MOONS
Sarla Performance Fibers Ltd,SARLAPOLY
Twentyfirst Century Management Serv,21STCENMGM
La Opala RG Ltd.,LAOPALA
Stylam Industries Limited,STYLAMIND
Venus Remedies Ltd.,VENUSREM
Urja Global Limited,URJA
Ashapura Minechem Ltd,ASHAPURMIN
Gujarat Alkalis & Chemicals Ltd.,GUJALKALI
India Cements Ltd.,INDIACEM
JK Tyre & Industries Ltd.,JKTYRE
Mangalore Chemicals & Fertilisers L,MANGCHEFER
Standard Industries Ltd.,SIL
JUBILANT PHARMOVA LIMITED,JUBLPHARMA
THE INVESTMENT TRUST OF INDIA LIMITED,THEINVEST
CSL Finance Limited,CSLFINANCE
Sanghvi Movers Ltd.,SANGHVIMOV
Selan Exploration Technology Ltd.,SELAN
Faze Three Ltd.,FAZE3Q
PRIVI SPECIALITY CHEMICALS LIMITED,PRIVISCL
Udaipur Cement Works Limited,UDAICEMENT
Optiemus Infracom Limited,OPTIEMUS
Themis Medicare Ltd.,THEMISMED
Suven Life Sciences Ltd.,SUVEN
Kothari Products Ltd.,KOTHARIPRO
Chaman Lal Setia Exports Ltd.,CLSEL
Genus Power Infrastructures Ltd,GENUSPOWER
ASIAN ENERGY SERVICES LTD,ASIANENE
Ugar Sugar Works Ltd.,UGARSUGAR
Orient Bell Limited,ORIENTBELL
NRB Bearings Ltd.,NRBBEARING
Nila Infrastructures Ltd,NILAINFRA
DB(INTERNATIONAL)Stock Brokers Ltd,DBSTOCKBRO
Relaxo Footwears Ltd.,RELAXO
Shilpa Medicare Ltd.,SHILPAMED
Paramount Communications Ltd.,PARACABLES
U. Y. FINCORP LIMITED,UYFINCORP
Goodluck India Limited,GOODLUCK
Supreme Holdings & Hospitality (India) Ltd,SUPREME
Raj Rayon Industries Limited,RAJRILTD
Alps Industries Ltd.,ALPSINDUS
Sterling Tools Ltd.,STERTOOLS
Bhageria Industries Limited,BHAGERIA
KRBL Ltd.,KRBL
Cupid Limited,CUPID
Chembond Chemicals Ltd.,CHEMBOND
Remsons Industries Ltd.,REMSONSIND
Sri Adhikari Brothers Television Ne,SABTNL
Vikas EcoTech Limited,VIKASECO
Indian Oil Corporation Ltd.,IOC
Balaji Amines Ltd.,BALAMINES
Alankit Limited,ALANKIT
OM INFRA LIMITED,OMINFRAL
BALU FORGE INDUSTRIES LIMITED,BALUFORGE
Patel Engineering Ltd,PATELENG
Medicamen Biotech Ltd.,MEDICAMEQ
Alicon Castalloy Limited,ALICON
Emami Ltd,EMAMILTD
Arman Financial Services Limited,ARMANFIN
Nucleus Software Exports Ltd,NUCLEUS
Manappuram Finance Limited,MANAPPURAM
XTGLOBAL INFOTECH LIMITED,XTGLOBAL
LINC LIMITED,LINC
V.S.T.Tillers Tractors Ltd.,VSTTILLERS
SRI HAVISHA HOSPITALITY AND INFRASTRUCTURE LIMITED,HAVISHA
Zydus Wellness Limited,ZYDUSWELL
Container Corporation Of India Ltd.,CONCOR
Panacea Biotec Ltd.,PANACEABIO
Choice International Ltd,CHOICEIN
The Byke Hospitality    Ltd,BYKE
Almondz Global Securities Limited,ALMONDZ
Tamil Nadu Newsprint And Papers Ltd,TNPL
Shakti Pumps (India) Ltd.,SHAKTIPUMP
AION-TECH SOLUTIONS LIMITED,GOLDTECH
GRM Overseas Ltd.,GRMOVER
Mohit Industries Limited,MOHITIND
NAVKAR URBANSTRUCTURE LIMITED,NAVKARURB
Blue Coast Hotels Ltd,BLUECOAST
Madhucon Projects Ltd.,MADHUCON
Rajesh Exports Ltd.,RAJESHEXPO
Eveready Industries India Ltd.,EVEREADY
Hatsun Agro Products Ltd.,HATSUN
Jindal Worldwide Ltd.,JINDWORLD
Somany Ceramics Limited,SOMANYCERA
Coral India Finance And Housing Ltd,CORALFINAC
Capri Global Capital Limited,CGCL
FDC Ltd.,FDC
Country Condo's Ltd,COUNCODOS
Lincoln Pharmaceuticals ltd.,LINCOLN
Suraj Ltd.,SURAJLTD
Marico Limited,MARICO
Vidhi Specialty Food Ingredients Limited,VIDHIING
Bhagiradha Chemicals and Industries,BHAGCHEM
GACM Technologies Limited,GATECH
Prajay Engineers Syndicate Ltd.,PRAENG
APOLLO PIPES LIMITED,APOLLOPIPE
Poly Medicure Ltd,POLYMED
Atul Auto Limited,ATULAUTO
ZENITH STEEL PIPES AND  INDUSTRIES LIMITED,ZENITHSTL
Khandwala Securities Ltd.,KHANDSE
Agarwal Industrial Corporation Limited,AGARIND
Blue Chip India Ltd,BLUECHIP
Ambika Cotton Mills Ltd.,AMBIKCO
LCC Infotech Ltd.,LCCINFOTEC
Filatex Fashions Ltd,FILATFASH
Sindhu Trade Links Limited,SINDHUTRAD
Swelect Energy Systems Limited,SWELECTES
KDDL Ltd,KDDL
Bank Of Baroda,BANKBARODA
Andhra Cement Ltd.,ACL
SKM Egg Products Exports (India) Lt,SKMEGGPROD
Welspun Corp Limited,WELCORP
Bank of India,BANKINDIA
Indraprastha Medical Corporation Lt,INDRAMEDCO
Gail (India) Ltd.,GAIL
Vaibhav Global Ltd,VAIBHAVGBL
JK Paper Ltd.,JKPAPER
Saregama India Ltd.,SAREGAMA
Adroit Infotech Limited,ADROITINFO
Cybertech Systems and Software Ltd.,CYBERTECH
ICICI Bank Ltd.,ICICIBANK
Cyient Limited,CYIENT
Engineers India Ltd.,ENGINERSIN
Dhanlaxmi Bank Limited,DHANBANK
Gujarat Mineral Development Corpora,GMDCLTD
IndusInd Bank Ltd.,INDUSINDBK
India Tourism Development Corporati,ITDC
Jammu and Kashmir Bank Ltd.,J&KBANK
City Union Bank Ltd,CUB
Archies Ltd.,ARCHIES
AXIS Bank Ltd.,AXISBANK
HB Stockholdings Ltd.,HBSL
South Indian Bank Ltd.,SOUTHBANK
Energy Development Company Ltd.,ENERGYDEV
Sonata Software Ltd.,SONATSOFTW
National Aluminium Co. Ltd.,NATIONALUM
India Nippon Electricals Ltd,INDNIPPON
Nalwa Sons Investment Ltd,NSIL
Apar Industries Ltd,APARINDS
ACCELYA SOLUTIONS INDIA LIMITED,ACCELYA
ORCHASP LIMITED,ORCHASP
HCL Technologies Ltd,HCLTECH
Geojit Financial Services Limited,GEOJITFSL
Jindal Steel & Power Ltd,JINDALSTEL
BLB Limited,BLBLIMITED
Glenmark Pharmaceuticals ltd,GLENMARK
Wockhardt Ltd,WOCKPHARMA
Ind-Swift Laboratories Ltd.,INDSWFTLAB
GE Power India Limited,GEPIL
Shree Rama Multi-tech Ltd.,SHREERAMA
Mahindra Lifespace Developers Ltd.,MAHLIFE
Zydus Lifesciences Limited,ZYDUSLIFE
Cinevista Limited,CINEVISTA
Intense Technologies,INTENTECH
Ajanta Pharma Ltd.,AJANTPHARM
Ambica Agarbathies & Aroma Ind. Ltd.,AMBICAAGAR
Compucom Software Lt.,COMPUSOFT
IZMO Limited,IZMO
TVS Motor Company Ltd.,TVSMOTOR
ALLCARGO GATI LIMITED,ACLGATI
Subex  Ltd,SUBEXLTD
Transport Corporation of India Ltd,TCI
Aksh Optifibre Ltd.,AKSHOPTFBR
Triveni Engineering & Industries Ltd,TRIVENI
Mukta Arts Ltd.,MUKTAARTS
Dynacons Systems & Solutions Ltd.,DSSL
PNB Gilts Ltd,PNBGILTS
Ramco Industries Ltd,RAMCOIND
Ramco Systems Ltd,RAMCOSYS
Tata Teleservices (Maharashtra) Ltd.,TTML
Virinchi Limited,VIRINCHI
Sterlite Technologies Limited.,STLTECH
TIPS MUSIC LIMITED,TIPSMUSIC
MRO-TEK Realty Limited,MRO-TEK
Balaji Telefilms Ltd.,BALAJITELE
California Software Co. Ltd.,CALSOFT
Pritish Nandy Communications Ltd,PNC
Indian Overseas Bank,IOB
Taj GVK Hotels & Resorts Ltd.,TAJGVK
Creative Eye Ltd.,CREATIVEYE
AXISCADES TECHNOLOGIES LIMITED,AXISCADES
Usha Martin Education & Solutions Limited,UMESLTD
BIRLASOFT LIMITED,BSOFT
Avantel Limited,AVANTEL
MOSCHIP TECHNOLOGIES LIMITED,MOSCHIP
Megasoft Ltd.,MEGASOFT
Cerebra Integrated Technologies Ltd.,CEREBRAINT
Next Mediaworks Ltd,NEXTMEDIA
Smartlink Holdings Limited,SMARTLINK
Godrej Consumer Products Ltd.,GODREJCP
BF Utilities Ltd.,BFUTILITIE
United Spirits Limited,UNITDSPR
OLECTRA GREENTECH LIMITED,OLECTRA
MPS Limited,MPSLTD
Cera Sanitaryware Ltd.,CERA
Bharti Airtel  Ltd.,BHARTIARTL
Compuage Infocom Ltd,COMPINFO
Gulshan Polyols Ltd.,GULPOLY
Ponni Sugars (Erode) Ltd.,PONNIERODE
Punjab National Bank,PNB
Oracle Financial Services Software Limited,OFSS
Aptech Ltd.,APTECHT
Union Bank of India,UNIONBANK
United Breweries Ltd.,UBL
Noida Toll Bridge Company Ltd,NOIDATOLL
Granules India Ltd.,GRANULES
Canara Bank,CANBK
Pokarna Ltd.,POKARNA
Divi's Laboratories Ltd.,DIVISLAB
Astra Microwave Products Ltd.,ASTRAMICRO
Radico Khaitan Ltd.,RADICO
Maruti Suzuki India  Ltd.,MARUTI
Navin Fluorine International Limited,NAVINFLUOR
UCO Bank,UCOBANK
B.A.G. Films & Media Ltd,BAGFILMS
Jindal Stainless Limited,JSL
Suprajit Engineering Ltd.,SUPRAJIT
TVS Electronics Ltd.,TVSELECT
Indraprashtha Gas Ltd.,IGL
T.V.Today Network Limited,TVTODAY
Palred Technologies Limited,PALREDTEC
PETRONET LNG LTD.,PETRONET
Biocon Ltd.,BIOCON
PTC India Ltd,PTC
Bank of maharashtra,MAHABANK
ramkrishna forgings Ltd.,RKFORGE
Datamatics Global Services Limited,DATAMATICS
New Delhi Television Limited,NDTV
STRIDES PHARMA SCIENCE LIMITED,STAR
Jaiprakash Associates Limited,JPASSOCIAT
UltraTech Cement Ltd,ULTRACEMCO
UNO Minda Limited,UNOMINDA
Tata Consultancy Services Ltd.,TCS
COFORGE LIMITED,COFORGE
GP Petroleums Limited,GULFPETRO
Century Plyboards (India) Ltd.,CENTURYPLY
Welspun Enterprises Limited,WELENT
NTPC Limited,NTPC
S.A.L. Steel Ltd.,SALSTEEL
JBM Auto Limited,JBMA
Dwarikesh Sugar Industries Ltd.,DWARKESH
Indoco Remedies Ltd.,INDOCO
VIP Clothing Limited,VIPCLOTHNG
Impex Ferro tech Ltd.,IMPEXFERRO
Xchanging Solutions Limited,XCHANGING
Morarjee Textiles Limited,MORARJEE
Jindal Photo Limited,JINDALPHOT
Pondy Oxides & Chemicals Limited,POCL
Jaiprakash Power Ventures Limited,JPPOWER
3i Infotech limited,3IINFOLTD
Gokaldas Exports Ltd,GOKEX
Alldigi Tech Limited,ALLDIGI
IIFL FINANCE LIMITED ,IIFL
Mangalam Drugs and Organics Ltd.,MANGALAM
Shoppers Stop Ltd,SHOPERSTOP
Cyber Media (India) Ltd.,CYBERMEDIA
Nandan Denim Limited,NDL
JSW Holdings Limited,JSWHL
J.K. CEMENT LTD,JKCEMENT
Yes Bank Ltd.,YESBANK
Nectar Lifesciences Limited,NECLIFE
MSP STEEL & POWER LTD.,MSPL
SPL INDUSTRIES LIMITED,SPLIL
Karnataka Bank Ltd.,KTKBANK
McLeod Russel India Limited,MCLEODRUSS
Rane (Madras)  Ltd.,RML
HT Media Ltd,HTMEDIA
Sasken Technologies Limited,SASKEN
FCS Software Solutions Ltd.,FCSSOFT
SUZLON ENERGY LTD.,SUZLON
Aurionpro Solutions Ltd.,AURIONPRO
Shree Renuka Sugars Ltd.,RENUKA
K. M. Sugar Mills Ltd.,KMSUGAR
Bannari Amman Spinning Mills Ltd,BASML
AIA Engineering Ltd.,AIAENG
Everest Kanto Cylinders Ltd.,EKC
Kernex Microsystems (India) Ltd.,KERNEX
Repro India Ltd.,REPRO
PVR INOX LIMITED,PVRINOX
Bartronics India Ltd.,ASMS
Celebrity Fashions Ltd.,CELEBRITY
Nitin Spinners Ltd.,NITINSPIN
Royal Orchid Hotels Ltd,ROHLTD
Entertainment Network (India) Ltd,ENIL
Gujarat State Petronet Ltd.,GSPL
Jagran Prakashan Limited,JAGRAN
Dynemic Products Ltd.,DYNPRO
GVK Power & Infrastructure Ltd,GVKPIL
Sadbhav Engineering Ltd.,SADBHAV
Sakuma Exports Ltd.,SAKUMA
KEC International Ltd.,KEC
Gillanders Arbuthnot & Co. Ltd.,GILLANDERS
Indo Tech Transformers Limited,INDOTECH
B L Kashyap and Sons Ltd,BLKASHYAP
Mahindra & Mahindra Financial Services Limited,M&MFIN
Nitco Ltd.,NITCO
Solar Industries India Limited,SOLARINDS
GALLANTT ISPAT LIMITED,GALLANTT
Malu Paper Mills Limited,MALUPAPER
Uttam Sugar Mills Ltd,UTTAMSUGAR
STL Global Ltd,SGL
Kewal Kiran Clothing Ltd.,KKCL
SUN TV NETWORK LIMITED,SUNTV
GODAWARI POWER AND ISPAT LTD.,GPIL
R Systems International Limited,RSYSTEMS
Emkay Global Financial Services Ltd,EMKAY
TWAMEV CONSTRUCTION AND INFRASTRUCTURE LIMITED,TICL
Lokesh Machines Limited,LOKESHMACH
Kamdhenu Limited,KAMDHENU
Prime Focus Limited,PFOCUS
Allcargo Logistics Ltd,ALLCARGO
GMR Airports Limited,GMRAIRPORT
Tech Mahindra Limited,TECHM
CIE Automotive India Limited,CIEINDIA
VOLTAMP TRANSFORMERS LIMITED,VOLTAMP
ATLANTAA LIMITED,ATLANTAA
HOV Services Limited,HOVS
Action Construction Equipments Ltd.,ACE
GeeCee Ventures Limited,GEECEE
Gayatri Projects Limited,GAYAPROJ
FIEM INDUSTRIES LIMITED,FIEMIND
JHS Svendgaard Laboratories Ltd.,JHS
DCB Bank Limited,DCBBANK
Global Vectra Helicorp Ltd.,GLOBALVECT
Inspirisys Solutions Limited,INSPIRISYS
GTL Infrastructure Limited,GTLINFRA
SHIVAM AUTOTECH LIMITED,SHIVAMAUTO
Info Edge(India) Ltd.,NAUKRI
TORRENT POWER LIMITED,TORNTPOWER
Parsvnath Developers Ltd.,PARSVNATH
SUTLEJ TEXTILES & INDUSTRIES LIMITED,SUTLEJTEX
LT Foods Limited,LTFOODS
Sobha Limited,SOBHA
Ruchira Papers Ltd,RUCHIRA
TANLA PLATFORMS LIMITED,TANLA
Zee Media Corporation Limited,ZEEMEDIA
Siti Networks Limited,SITINET
Lumax Auto Technologies Ltd.,LUMAXTECH
AUTOLINE INDUSTRIES LTD.,AUTOIND
Network 18 Media & Investments Limited,NETWORK18
Hubtown Limited,HUBTOWN
Cambridge Technology Enterprises Ltd.,CTE
Technocraft Industries (India) Ltd.,TIIL
Redington Limited,REDINGTON
Cineline India Limited,CINELINE
Pearl Global Industries Limited,PGIL
Firstsource Solutions Ltd.,FSL
Power Finance Corporation Ltd,PFC
Ahluwalia Contracts (India) Ltd,AHLUCONT
Transwarranty Finance Limited,TFL
Indian Bank,INDIANB
SMS Pharmaceuticals Ltd,SMSPHARMA
Oriental Trimex Limited,ORIENTALTL
VODAFONE IDEA LIMITED,IDEA
Raj Television Network Ltd,RAJTV
Page Industries Ltd.,PAGEIND
AMD Industries Ltd,AMDIND
ASTRAL LIMITED,ASTRAL
EQUINOX INDIA DEVELOPMENTS LIMITED,EMBDL
Camlin Fine Sciences Ltd,CAMLINFINE
ICRA Limited,ICRA
Dish TV India Limited,DISHTV
SAHYADRI INDUSTRIES LTD.,SAHYADRI
Sree Rayalaseema Hi-Strength Hypo Limited,SRHHYPOLTD
Fortis Healthcare Ltd,FORTIS
TGB Banquets and Hotels Limited,TGBHOTELS
HILTON METAL FORGING LIMITED,HILTON
Delta Corp Limited,DELTACORP
MIC Electronics Limited,MICEL
Insecticides India Ltd.,INSECTICID
Asahi Songwon Colors Ltd.,ASAHISONG
Time Technoplast Limited,TIMETECHNO
Hinduja Global Solutions Limited,HGS
Nelcast Limited,NELCAST
V2 Retail Limited,V2RETAIL
DLF LIMITED,DLF
Tarmat Limited,TARMAT
Ankit Metal  & Power Limited,ANKITMETAL
Sun Pharma Advanced Research Company Ltd.,SPARC
Allied Digital Services Limited,ADSL
Alpa Laboratories Limited,ALPA
OMAXE LIMITED,OMAXE
Refex Industries Limited,REFEX
Central Bank of India,CENTRALBK
SEL Manufacturing Company Limited,SELMC
ASIAN GRANITO INDIA LIMITED,ASIANTILES
K.P.R. Mill Ltd.,KPRMILL
Take Solutions Ltd,TAKE
Puravankara Limited,PURVA
Motilal Oswal Financial Services Limited,MOTILALOFS
Indowind Energy Ltd.,INDOWIND
Nagreeka Capital & Infrastructure Limited,NAGREEKCAP
MAGNUM VENTURES LIMITED,MAGNUM
POWER GRID CORPORATION OF INDIA LIMITED,POWERGRID
Kaveri Seed Company Ltd,KSCL
PAISALO DIGITAL LIMITED,PAISALO
Consolidated Construction Consortium Ltd,CCCL
Supreme Infrastructure India Limited,SUPREMEINF
MAAN ALUMINIUM LIMITED,MAANALU
IL&FS Engineering and Construction Company Ltd,IL&FSENGG
Religare Enterprises Ltd,RELIGARE
BARAK VALLEY CEMENTS LIMITED,BVCL
Adani Ports and Special Economic Zone Ltd,ADANIPORTS
Edelweiss Financial Services Ltd.,EDELWEISS
RENAISSANCE GLOBAL LIMITED,RGL
Kolte-Patil Developers Ltd,KOLTEPATIL
Kaushalya Infrastructure Development Corporation Ltd,KAUSHALYA
JYOTHY LABS LIMITED,JYOTHYLAB
eClerx Services Limited,ECLERX
Transformers and Rectifiers (India) Limited,TARIL
Brigade Enterprises Limited,BRIGADE
BGR ENERGY SYSTEMS LIMITED,BGRENERGY
MANAKSIA LIMITED,MANAKSIA
PPAP Automotive Limited,PPAP
Aries Agro Limited,ARIES
Kuantum Papers Limited,KUANTUM
Reliance Power Limited,RPOWER
J. Kumar Infraprojects Limited,JKIL
Cords Cable Industries Limited,CORDSCABLE
KNR Constructions Limited,KNRCON
OnMobile Global Ltd.,ONMOBILE
SEPC LIMITED,SEPC
Bang Overseas Ltd,BANG
IRB Infrastructure Developers Limited,IRB
GSS Infotech Ltd,GSS
Nahar Capital & Financial Services Ltd.,NAHARCAP
V-Guard Industries Ltd.,VGUARD
REC LIMITED,RECLTD
Dhani Services Limited,DHANI
TITAGARH RAIL SYSTEMS LIMITED,TITAGARH
KIRI INDUSTRIES LIMITED,KIRIINDUS
Aditya Birla  Money Ltd,BIRLAMONEY
Jai Balaji Industries Limited,JAIBALAJI
Bajaj Auto Limited,BAJAJ-AUTO
Bajaj Finserv Limited,BAJAJFINSV
Gokul Refoils and Solvent Limited,GOKUL
RPG Life Sciences Limited,RPGLIFE
Niraj Cement Structurals Limited,NIRAJ
Rane Brake Lining Limited,RBL
Rane Engine Valve Limited,RANEENGINE
Bafna Pharmaceuticals Limited,BAFNAPH
SEJAL GLASS LIMITED,SEJALLTD
Archidply Industries Limited,ARCHIDPLY
Lotus Eye Hospital And Institute Limited,LOTUSEYE
SOMI CONVEYOR BELTINGS LIMITED,SOMICONVEY
Landmark Property Development Company Ltd.,LPDC
20 Microns Limited,20MICRONS
ZF Commercial Vehicle Control Systems India Limited,ZFCVINDIA
Alkali Metals Limited,ALKALI
ISGEC Heavy Engineering Limited,ISGEC
Indian Metals & Ferro Alloys Limited,IMFA
Teamo Productions HQ Limited,TPHQ
Mold-Tek Packaging Limited,MOLDTKPAC
Mahindra Holidays & Resorts India Limited,MHRIL
Excel Realty N Infra Limited,EXCEL
RAJ OIL MILLS LIMITED,ROML
Adani Power Limited,ADANIPOWER
NHPC Limited,NHPC
Globus Spirits Limited,GLOBUSSPR
Oil India Limited,OIL
EXPLEO SOLUTIONS LIMITED,EXPLEOSOL
RattanIndia Power Limited,RTNPOWER
DEN Networks Limited,DEN
ASTEC LIFESCIENCES LIMITED,ASTEC
D-Link (India) Ltd,DLINKINDIA
JSW Energy Limited,JSWENERGY
Godrej Properties Limited,GODREJPROP
D.B.Corp Limited,DBCORP
MBL Infrastructure Ltd,MBLINFRA
Jubilant Foodworks Limited,JUBLFOOD
Vascon Engineers Limited,VASCONEQ
Thangamayil Jewellery Limited,THANGAMAYL
VALOR ESTATE LIMITED,DBREALTY
Emmbi Industries Limited,EMMBI
Hathway Cable & Datacom Limited,HATHWAY
Texmo Pipes and Products Limited,TEXMOPIPES
Sundaram Multi Pap Ltd.,SUNDARAM
Rossell India Limited,ROSSELLIND
MAN INFRACONSTRUCTION LIMITED,MANINFRA
IL&FS Transportation Networks Limited,IL&FSTRANS
Persistent Systems Limited,PERSISTENT
Intrasoft Technologies Limited,ISFT
Goenka Diamond & Jewels Ltd,GOENKA
K C P SUGAR AND INDUSTRIES CORPORATION LTD.,KCPSUGIND
KIRLOSKAR ELECTRIC COMPANY LTD.,KECL
TARAPUR TRANSFORMERS LIMITED,TARAPUR
SJVN LIMITED,SJVN
Emami Paper Mills Ltd.,EMAMIPAP
Kriti Nutrients Ltd,KRITINUT
Hindustan Media Ventures Limited,HMVL
EMAMI REALTY LIMITED,EMAMIREAL
Asian Hotels (East) Limited,AHLEAST
BAJAJ CONSUMER CARE LIMITED,BAJAJCON
Prakash Steelage Limited,PRAKASHSTL
Gujarat Pipavav Port Limited,GPPL
Welspun Investments and Commercials Ltd.,WELINV
Sastasundar Ventures Limited,SASTASUNDR
Career Point Limited,CAREERP
Ramky Infrastructure Limited,RAMKY
Orient Green Power Company Limited,GREENPOWER
CANTABIL RETAIL INDIA LIMITED,CANTABIL
VA Tech Wabag Limited,WABAG
Bedmutha Industries Limited,BEDMUTHA
Ashoka Buildcon Limited,ASHOKA
JUPITER WAGONS LIMITED,JWL
OBEROI REALTY LIMITED,OBEROIRLTY
Prestige Estates Projects Limited,PRESTIGE
SHAH METACORP LIMITED,SHAH
Coal India Limited,COALINDIA
GRAVITA INDIA LIMITED,GRAVITA
RPP INFRA PROJECTS LIMITED,RPPINFRA
MOIL Limited,MOIL
ZEE LEARN LIMITED,ZEELEARN
A2Z Infra Engineering Limited,A2ZINFRA
Kirloskar Oil Engines Limited,KIRLOSENG
Ravi Kumar Distilleries Limited,RKDL
PUNJAB & SIND BANK,PSB
Future Market Networks Limited,FMNL
Surana Solar Limited,SURANASOL
SHEKHAWATI INDUSTRIES LIMITED,SHEKHAWATI
Kalyani Investment Company Limited,KICL
BF Investment Limited,BFINVEST
SUMMIT SECURITIES LTD.,SUMMITSEC
STEL Holdings Limited,STEL
Texmaco Rail & Engineering Limited,TEXRAIL
Indian Terrain Fashions Limited,INDTERRAIN
Fineotex Chemical Limited,FCL
Dhunseri Investments Ltd,DHUNINV
Zen Technologies Ltd.,ZENTEC
Lovable Lingerie Limited,LOVABLE
PTC India Financial Services Limited,PFS
MUTHOOT FINANCE LIMITED,MUTHOOTFIN
Karma Energy Limited,KARMAENG
DELPHI WORLD MONEY LIMITED,DELPHIFX
Rushil Decor Limited,RUSHIL
Kridhan Infra Limited,KRIDHANINF
INVENTURE GROWTH & SECURITIES LIMITED,INVENTURE
L&T Finance Limited,LTF
Yaari Digital Integrated Services Ltd,YAARI
Tree House Education & Accessories Limited,TREEHOUSE
BROOKS LABORATORIES LIMITED,BROOKS
RUPA & COMPANY LIMITED,RUPA
TD Power Systems Ltd,TDPOWERSYS
ALEMBIC PHARMACEUTICALS LIMITED,APLLTD
Vaswani Industries Limited,VASWANI
PG Electroplast Limited,PGEL
SETUBANDHAN INFRASTRUCTURE LIMITED,SETUINFRA
TIJARIA POLYPIPES LIMITED,TIJARIA
Onelife Capital Advisors Ltd,ONELIFECAP
FLEXITUFF VENTURES INTERNATIONAL LIMITED,FLEXITUFF
Triveni Turbine Limited,TRITURBINE
Indo Thai Securities Limited,INDOTHAI
Essar Shipping Ltd,ESSARSHPNG
APL Apollo Tubes Limited,APLAPOLLO
GPT Infraprojects limited,GPTINFRA
THOMAS SCOTT (INDIA) LIMITED,THOMASCOTT
Tera Software Ltd.,TERASOFT
RHI MAGNESITA INDIA LIMITED,RHIM
Multi Commodity Exchange of India Ltd,MCX
SCHNEIDER ELECTRIC INFRASTRUCTURE LIMITED,SCHNEIDER
NBCC (India) Limited,NBCC
Hexa Tradex Limited,HEXATRADEX
Tribhovandas Bhimji Zaveri Limited,TBZ
Vardhman Special Steels Ltd,VSSL
Speciality Restaurants Limited,SPECIALITY
Lypsa Gems & Jewellery Limited,LYPSAGEMS
RATTANINDIA ENTERPRISES LIMITED,RTNINDIA
Sampann Utpadan India Limited,SAMPANN
JTL INDUSTRIES LIMITED,JTLIND
North Eastern Carrying Corporation Limited,NECCLTD
Ducon Infratechnologies Limited,DUCON
PROZONE REALTY LIMITED,PROZONER
SRG Housing Finance Limited,SRGHFL
ZUARI AGRO CHEMICALS LIMITED,ZUARI
Steel Exchange India Ltd.,STEELXIND
Cigniti Technologies Ltd,CIGNITITEC
CARE Ratings Limited,CARERATING
PC JEWELLER LIMITED,PCJEWELLER
INDUS TOWERS LIMITED,INDUSTOWER
V-Mart Retail Limited,VMART
NIBE LIMITED,NIBE
Repco Home Finance Limited,REPCOHOME
NRB INDUSTRIAL BEARINGS LIMITED,NIBL
Sreeleathers Limited,SREEL
Sharda Motor Industries Ltd,SHARDAMOTR
Just Dial Limited,JUSTDIAL
ORIENT CEMENT LIMITED,ORIENTCEM
Aditya Birla Fashion and Retail Limited,ABFRL
Sammaan Capital Limited,SAMMAANCAP
Integra Essentia Limited,ESSENTIA
Future Lifestyle Fashions Limited,FLFL
JINDAL POLY INVESTMENT AND FINANCE COMPANY LIMITED,JPOLYINVST
Suyog Telematics Limited,SUYOG
Nath Biogene India Ltd.,NATHBIOGEN
Agri-Tech India Ltd.,AGRITECH
RACE ECO CHAIN LIMITED,RACE
VIJI FINANCE LIMITED,VIJIFIN
Wonderla Holidays Limited,WONDERLA
INCREDIBLE INDUSTRIES LIMITED,INCREDIBLE
Worth Investment & Trading Co Limited,WORTH
Skipper Limited,SKIPPER
Gulf Oil Lubricants India Limited,GULFOILLUB
SNOWMAN LOGISTICS LIMITED,SNOWMAN
Sharda Cropchem Limited,SHARDACROP
SHEMAROO ENTERTAINMENT LIMITED,SHEMAROO
